Makespan,TEC,Pareto,Execution Time
10421,419.08,True,2.4813621044158936
10389,453.76,True,2.4813621044158936
10262,466.56,True,2.4813621044158936
10241,495.6,True,2.4813621044158936
10051,516.2,True,2.4813621044158936
9885,529.52,True,2.4813621044158936
9785,532.64,True,2.4813621044158936
9722,543.84,True,2.4813621044158936
9709,551.8,True,2.4813621044158936
9625,561.4,True,2.4813621044158936
9606,563.4,True,2.4813621044158936
9550,567.28,True,2.4813621044158936
9532,568.68,True,2.4813621044158936
9401,594.68,True,2.4813621044158936
9240,620.48,True,2.4813621044158936
9194,640.2,True,2.4813621044158936
9052,687.24,True,2.4813621044158936
8860,728.48,True,2.4813621044158936
8444,782.76,True,2.4813621044158936
8275,808.36,True,2.4813621044158936
8128,816.08,True,2.4813621044158936
7998,829.12,True,2.4813621044158936
7892,836.8,True,2.4813621044158936
5203,838.16,True,2.4813621044158936
5052,915.4,True,2.4813621044158936
4484,916.08,True,2.4813621044158936
4326,918.84,True,2.4813621044158936
4227,920.68,True,2.4813621044158936
4143,924.72,True,2.4813621044158936
4132,926.6,True,2.4813621044158936
4091,927.08,True,2.4813621044158936
4067,932.96,True,2.4813621044158936
4057,934.56,True,2.4813621044158936
3984,936.4,True,2.4813621044158936
3957,942.16,True,2.4813621044158936
3915,951.44,True,2.4813621044158936
3840,961.12,True,2.4813621044158936
3816,963.36,True,2.4813621044158936
3715,963.84,True,2.4813621044158936
3714,975.56,True,2.4813621044158936
3677,978.88,True,2.4813621044158936
3659,981.6,True,2.4813621044158936
3634,984.76,True,2.4813621044158936
3576,984.88,True,2.4813621044158936
3547,993.28,True,2.4813621044158936
3542,1000.96,True,2.4813621044158936
3479,1001.16,True,2.4813621044158936
3443,1008.32,True,2.4813621044158936
3425,1008.36,True,2.4813621044158936
3406,1013.0,True,2.4813621044158936
3402,1013.8,True,2.4813621044158936
3367,1016.4,True,2.4813621044158936
3361,1019.96,True,2.4813621044158936
3343,1021.12,True,2.4813621044158936
3290,1028.16,True,2.4813621044158936
3273,1035.84,True,2.4813621044158936
3255,1038.72,True,2.4813621044158936
3235,1039.84,True,2.4813621044158936
3231,1046.24,True,2.4813621044158936
3207,1046.36,True,2.4813621044158936
3204,1049.68,True,2.4813621044158936
3142,1051.2,True,2.4813621044158936
3126,1055.88,True,2.4813621044158936
3086,1060.12,True,2.4813621044158936
3073,1064.56,True,2.4813621044158936
3023,1070.2,True,2.4813621044158936
2981,1078.48,True,2.4813621044158936
2955,1079.76,True,2.4813621044158936
2949,1080.24,True,2.4813621044158936
2944,1083.44,True,2.4813621044158936
2933,1084.84,True,2.4813621044158936
2900,1087.04,True,2.4813621044158936
2881,1094.8,True,2.4813621044158936
2838,1095.68,True,2.4813621044158936
2823,1099.88,True,2.4813621044158936
2804,1100.2,True,2.4813621044158936
2798,1103.56,True,2.4813621044158936
2796,1104.76,True,2.4813621044158936
2776,1105.6,True,2.4813621044158936
2767,1106.08,True,2.4813621044158936
2746,1109.8,True,2.4813621044158936
2721,1110.08,True,2.4813621044158936
2708,1113.8,True,2.4813621044158936
2705,1115.04,True,2.4813621044158936
2693,1115.52,True,2.4813621044158936
2684,1115.88,True,2.4813621044158936
2680,1116.04,True,2.4813621044158936
2677,1116.16,True,2.4813621044158936
2665,1116.64,True,2.4813621044158936
2654,1117.08,True,2.4813621044158936
2640,1117.64,True,2.4813621044158936
2635,1117.84,True,2.4813621044158936
2634,1117.88,True,2.4813621044158936
2417,1118.08,True,2.4813621044158936
