Makespan,TEC,Pareto,Execution Time
2346.0,1932.32,true,6.84828782081604
2379.0,1919.68,true,6.84828782081604
2383.0,1919.16,true,6.84828782081604
2384.0,1913.24,true,6.84828782081604
2410.0,1910.96,true,6.84828782081604
2412.0,1910.56,true,6.84828782081604
2416.0,1909.92,true,6.84828782081604
2433.0,1901.6,true,6.84828782081604
2435.0,1897.64,true,6.84828782081604
2457.0,1891.84,true,6.84828782081604
2462.0,1885.92,true,6.84828782081604
2464.0,1884.72,true,6.84828782081604
2500.0,1880.24,true,6.84828782081604
2508.0,1873.28,true,6.84828782081604
2542.0,1863.52,true,6.84828782081604
2608.0,1861.56,true,6.84828782081604
2620.0,1853.76,true,6.84828782081604
2654.0,1848.32,true,6.84828782081604
2755.0,1841.16,true,6.84828782081604
2812.0,1835.12,true,6.84828782081604
2814.0,1832.84,true,6.84828782081604
2825.0,1827.6,true,6.84828782081604
2889.0,1822.96,true,6.84828782081604
2906.0,1815.4,true,6.84828782081604
4008.0,1697.04,true,6.84828782081604
4056.0,1687.48,true,6.84828782081604
4114.0,1673.04,true,6.84828782081604
4132.0,1530.48,true,6.84828782081604
4157.0,1512.84,true,6.84828782081604
4190.0,1502.04,true,6.84828782081604
4247.0,1498.88,true,6.84828782081604
4278.0,1492.48,true,6.84828782081604
4311.0,1476.64,true,6.84828782081604
4311.0,1485.56,true,6.84828782081604
4326.0,1464.52,true,6.84828782081604
4350.0,1453.84,true,6.84828782081604
4437.0,1436.44,true,6.84828782081604
4589.0,1410.92,true,6.84828782081604
4616.0,1382.6,true,6.84828782081604
4625.0,1347.8,true,6.84828782081604
4696.0,1342.68,true,6.84828782081604
4747.0,1314.6,true,6.84828782081604
4837.0,1314.12,true,6.84828782081604
4845.0,1284.64,true,6.84828782081604
4926.0,1274.84,true,6.84828782081604
4968.0,1200.6,true,6.84828782081604
2346.0,1953.68,false,6.84828782081604
2346.0,1950.96,false,6.84828782081604
2346.0,1946.56,false,6.84828782081604
2353.0,1956.24,false,6.84828782081604
2360.0,1955.04,false,6.84828782081604
2435.0,1945.68,false,6.84828782081604
2457.0,1895.24,false,6.84828782081604
2464.0,1886.96,false,6.84828782081604
2472.0,1940.96,false,6.84828782081604
2495.0,1924.44,false,6.84828782081604
2505.0,1945.24,false,6.84828782081604
2513.0,1939.84,false,6.84828782081604
2535.0,1925.08,false,6.84828782081604
2545.0,1956.12,false,6.84828782081604
2547.0,1938.04,false,6.84828782081604
2548.0,1912.0,false,6.84828782081604
2548.0,1912.68,false,6.84828782081604
2552.0,1915.52,false,6.84828782081604
2559.0,1920.4,false,6.84828782081604
2587.0,1918.68,false,6.84828782081604
2593.0,1924.4,false,6.84828782081604
2629.0,1923.56,false,6.84828782081604
2651.0,1923.68,false,6.84828782081604
2653.0,1884.8,false,6.84828782081604
2654.0,1849.56,false,6.84828782081604
2668.0,1886.6,false,6.84828782081604
2673.0,1895.92,false,6.84828782081604
2681.0,1908.2,false,6.84828782081604
2706.0,1883.48,false,6.84828782081604
2708.0,1944.2,false,6.84828782081604
2716.0,1883.04,false,6.84828782081604
2753.0,1940.0,false,6.84828782081604
2764.0,1913.0,false,6.84828782081604
2833.0,1829.48,false,6.84828782081604
2840.0,1903.8,false,6.84828782081604
2850.0,1829.4,false,6.84828782081604
2870.0,1924.68,false,6.84828782081604
2928.0,1870.52,false,6.84828782081604
2954.0,1900.48,false,6.84828782081604
3039.0,1951.28,false,6.84828782081604
3046.0,1932.24,false,6.84828782081604
3133.0,1860.08,false,6.84828782081604
3176.0,1942.24,false,6.84828782081604
3195.0,1936.16,false,6.84828782081604
3198.0,1935.52,false,6.84828782081604
3239.0,1995.84,false,6.84828782081604
3293.0,1830.2,false,6.84828782081604
3324.0,1957.8,false,6.84828782081604
3340.0,1994.0,false,6.84828782081604
3838.0,2046.92,false,6.84828782081604
3925.0,1991.28,false,6.84828782081604
4008.0,1716.72,false,6.84828782081604
4022.0,1915.32,false,6.84828782081604
4132.0,1594.68,false,6.84828782081604
4132.0,1628.24,false,6.84828782081604
4132.0,1593.92,false,6.84828782081604
4139.0,1856.8,false,6.84828782081604
4157.0,1528.0,false,6.84828782081604
4210.0,1883.32,false,6.84828782081604
4260.0,1849.36,false,6.84828782081604
4311.0,1485.56,false,6.84828782081604
4322.0,1733.24,false,6.84828782081604
4324.0,1560.68,false,6.84828782081604
4324.0,1481.28,false,6.84828782081604
4333.0,1866.04,false,6.84828782081604
4359.0,1793.24,false,6.84828782081604
4363.0,1522.44,false,6.84828782081604
4399.0,1771.28,false,6.84828782081604
4426.0,1553.92,false,6.84828782081604
4441.0,1614.64,false,6.84828782081604
4452.0,1838.6,false,6.84828782081604
4598.0,1434.8,false,6.84828782081604
4645.0,1482.4,false,6.84828782081604
4655.0,1431.16,false,6.84828782081604
4697.0,1355.64,false,6.84828782081604
4699.0,1783.32,false,6.84828782081604
4749.0,1662.16,false,6.84828782081604
4839.0,1393.56,false,6.84828782081604
4871.0,1360.6,false,6.84828782081604
4932.0,1825.28,false,6.84828782081604
4968.0,1364.2,false,6.84828782081604
4968.0,1389.04,false,6.84828782081604
4968.0,1567.12,false,6.84828782081604
4968.0,1373.08,false,6.84828782081604
4968.0,1556.12,false,6.84828782081604
4968.0,1353.64,false,6.84828782081604
4968.0,1338.44,false,6.84828782081604
15079.0,1080.88,false,6.84828782081604
15192.0,1070.52,false,6.84828782081604
15239.0,1095.52,false,6.84828782081604
15322.0,1086.2,false,6.84828782081604
15362.0,1082.8,false,6.84828782081604
15531.0,1060.2,false,6.84828782081604
15549.0,1066.0,false,6.84828782081604
15573.0,1093.68,false,6.84828782081604
15667.0,1096.76,false,6.84828782081604
15676.0,1060.96,false,6.84828782081604
15691.0,1054.0,false,6.84828782081604
15703.0,1079.6,false,6.84828782081604
15718.0,1049.96,false,6.84828782081604
15729.0,1077.6,false,6.84828782081604
15746.0,1045.84,false,6.84828782081604
15777.0,1061.8,false,6.84828782081604
15789.0,1074.72,false,6.84828782081604
15795.0,1047.4,false,6.84828782081604
15807.0,1072.44,false,6.84828782081604
15816.0,1071.36,false,6.84828782081604
15828.0,1078.36,false,6.84828782081604
15836.0,1050.44,false,6.84828782081604
15862.0,1099.96,false,6.84828782081604
15867.0,1059.6,false,6.84828782081604
15869.0,1083.36,false,6.84828782081604
15889.0,1077.76,false,6.84828782081604
15915.0,1059.32,false,6.84828782081604
15938.0,1059.92,false,6.84828782081604
15946.0,1040.36,false,6.84828782081604
15952.0,1071.32,false,6.84828782081604
15960.0,1065.96,false,6.84828782081604
