Makespan,TEC,Pareto,Execution Time
75328,28188.56,True,119.46255707740784
70435,34265.16,True,119.46255707740784
69425,45091.92,True,119.46255707740784
66435,45189.0,True,119.46255707740784
62602,45213.48,True,119.46255707740784
38399,51672.56,True,119.46255707740784
37909,52018.48,True,119.46255707740784
37290,52304.6,True,119.46255707740784
35148,55171.32,True,119.46255707740784
34100,56333.28,True,119.46255707740784
33979,56617.72,True,119.46255707740784
32426,59212.64,True,119.46255707740784
30995,60116.56,True,119.46255707740784
28063,61358.76,True,119.46255707740784
27790,62074.4,True,119.46255707740784
27647,62188.44,True,119.46255707740784
27247,62879.0,True,119.46255707740784
26584,62943.32,True,119.46255707740784
26437,63025.2,True,119.46255707740784
