Makespan,TEC,Pareto,Execution Time
49357,35536.56,True,348.5738162994385
49017,35680.6,True,348.5738162994385
48288,36366.2,True,348.5738162994385
47881,37668.24,True,348.5738162994385
47717,37670.4,True,348.5738162994385
47476,37791.72,True,348.5738162994385
47393,38015.88,True,348.5738162994385
46943,38248.16,True,348.5738162994385
46889,38815.72,True,348.5738162994385
46211,39567.32,True,348.5738162994385
46078,39632.2,True,348.5738162994385
46049,39798.92,True,348.5738162994385
45575,40464.04,True,348.5738162994385
45031,40804.84,True,348.5738162994385
44490,41712.48,True,348.5738162994385
44254,41812.04,True,348.5738162994385
43913,42318.96,True,348.5738162994385
43669,42685.2,True,348.5738162994385
43488,42940.68,True,348.5738162994385
43381,43147.32,True,348.5738162994385
43265,43507.08,True,348.5738162994385
42955,43517.44,True,348.5738162994385
42787,44221.16,True,348.5738162994385
42483,44246.12,True,348.5738162994385
42200,44493.96,True,348.5738162994385
42013,44718.24,True,348.5738162994385
41934,44851.28,True,348.5738162994385
41615,45094.52,True,348.5738162994385
41370,45338.2,True,348.5738162994385
41106,45608.44,True,348.5738162994385
40834,45952.96,True,348.5738162994385
39934,46729.48,True,348.5738162994385
39173,47315.04,True,348.5738162994385
39028,47386.32,True,348.5738162994385
38780,47525.52,True,348.5738162994385
38773,52533.28,True,348.5738162994385
38626,52549.8,True,348.5738162994385
38613,52600.36,True,348.5738162994385
38512,52656.32,True,348.5738162994385
38254,52871.04,True,348.5738162994385
38250,53097.48,True,348.5738162994385
38050,53130.16,True,348.5738162994385
29132,53171.12,True,348.5738162994385
28648,53417.72,True,348.5738162994385
28321,53490.44,True,348.5738162994385
26689,53606.32,True,348.5738162994385
26260,53640.12,True,348.5738162994385
26223,53826.48,True,348.5738162994385
26210,54345.36,True,348.5738162994385
25717,54531.64,True,348.5738162994385
25392,54702.08,True,348.5738162994385
25090,55116.6,True,348.5738162994385
24789,55367.84,True,348.5738162994385
24636,55922.04,True,348.5738162994385
24491,55962.92,True,348.5738162994385
24400,55972.32,True,348.5738162994385
24303,56205.8,True,348.5738162994385
24251,56612.72,True,348.5738162994385
24151,56638.2,True,348.5738162994385
24100,56856.68,True,348.5738162994385
24078,57072.52,True,348.5738162994385
23617,57245.92,True,348.5738162994385
23590,57320.96,True,348.5738162994385
23464,57359.16,True,348.5738162994385
23287,57518.48,True,348.5738162994385
23184,57734.72,True,348.5738162994385
23133,57912.96,True,348.5738162994385
22701,58051.16,True,348.5738162994385
22593,58230.84,True,348.5738162994385
22449,58463.0,True,348.5738162994385
22440,58472.36,True,348.5738162994385
22284,58600.2,True,348.5738162994385
22139,58601.2,True,348.5738162994385
21975,58639.6,True,348.5738162994385
49311,38634.88,True,359.919725894928
47507,40039.76,True,359.919725894928
45770,40883.44,True,359.919725894928
44652,42666.32,True,359.919725894928
43706,43383.08,True,359.919725894928
43486,48318.48,True,359.919725894928
43353,48392.04,True,359.919725894928
43136,48969.48,True,359.919725894928
42998,49452.2,True,359.919725894928
42953,49482.6,True,359.919725894928
42943,49492.52,True,359.919725894928
42817,49598.36,True,359.919725894928
42649,49604.84,True,359.919725894928
42326,49931.68,True,359.919725894928
42172,50348.08,True,359.919725894928
41951,50923.64,True,359.919725894928
41781,51152.92,True,359.919725894928
41707,51449.4,True,359.919725894928
41626,51834.12,True,359.919725894928
41417,51923.64,True,359.919725894928
41263,52483.88,True,359.919725894928
41054,52781.8,True,359.919725894928
41050,52816.28,True,359.919725894928
40754,53173.28,True,359.919725894928
40574,53249.24,True,359.919725894928
40469,53864.64,True,359.919725894928
40188,53992.32,True,359.919725894928
40111,54302.12,True,359.919725894928
40091,54544.88,True,359.919725894928
39974,54672.56,True,359.919725894928
39723,54983.0,True,359.919725894928
39709,54985.32,True,359.919725894928
39529,55086.84,True,359.919725894928
39507,55140.24,True,359.919725894928
39442,55173.08,True,359.919725894928
39429,56082.52,True,359.919725894928
28589,56567.24,True,359.919725894928
28555,56621.44,True,359.919725894928
27127,56678.92,True,359.919725894928
26906,56711.24,True,359.919725894928
