Makespan,TEC,Pareto,Execution Time
7377,357.52,True,4.335721969604492
7368,378.88,True,4.335721969604492
7168,381.84,True,4.335721969604492
7067,386.64,True,4.335721969604492
6898,396.72,True,4.335721969604492
6658,501.16,True,4.335721969604492
6521,501.8,True,4.335721969604492
6495,506.92,True,4.335721969604492
6441,514.68,True,4.335721969604492
6349,529.16,True,4.335721969604492
6196,545.2,True,4.335721969604492
6101,559.68,True,4.335721969604492
6100,563.36,True,4.335721969604492
5923,574.0,True,4.335721969604492
5920,577.6,True,4.335721969604492
5833,581.64,True,4.335721969604492
5819,583.92,True,4.335721969604492
5776,586.28,True,4.335721969604492
5755,587.68,True,4.335721969604492
3066,598.0,True,4.335721969604492
3038,670.32,True,4.335721969604492
2991,673.56,True,4.335721969604492
2938,676.48,True,4.335721969604492
2831,680.36,True,4.335721969604492
2664,689.56,True,4.335721969604492
2661,702.64,True,4.335721969604492
2659,703.12,True,4.335721969604492
2639,704.32,True,4.335721969604492
2601,706.2,True,4.335721969604492
2560,712.12,True,4.335721969604492
2536,715.32,True,4.335721969604492
2523,718.04,True,4.335721969604492
2454,720.84,True,4.335721969604492
2444,723.2,True,4.335721969604492
2420,726.76,True,4.335721969604492
2410,727.56,True,4.335721969604492
2405,728.16,True,4.335721969604492
2385,730.12,True,4.335721969604492
2339,734.36,True,4.335721969604492
2337,736.16,True,4.335721969604492
2315,738.8,True,4.335721969604492
2292,740.96,True,4.335721969604492
2274,745.92,True,4.335721969604492
2252,747.44,True,4.335721969604492
2242,748.68,True,4.335721969604492
2234,749.72,True,4.335721969604492
2219,752.12,True,4.335721969604492
2197,755.44,True,4.335721969604492
2179,757.6,True,4.335721969604492
2159,760.0,True,4.335721969604492
2150,761.4,True,4.335721969604492
2146,762.2,True,4.335721969604492
2132,763.24,True,4.335721969604492
2104,766.84,True,4.335721969604492
2082,769.8,True,4.335721969604492
2052,774.4,True,4.335721969604492
2038,774.76,True,4.335721969604492
2034,775.24,True,4.335721969604492
2022,776.84,True,4.335721969604492
2008,777.96,True,4.335721969604492
2007,778.92,True,4.335721969604492
2005,780.6,True,4.335721969604492
2003,780.76,True,4.335721969604492
2001,781.36,True,4.335721969604492
1995,781.92,True,4.335721969604492
1994,782.0,True,4.335721969604492
1977,782.16,True,4.335721969604492
1965,783.28,True,4.335721969604492
1960,784.2,True,4.335721969604492
1957,784.24,True,4.335721969604492
1955,784.6,True,4.335721969604492
1942,785.64,True,4.335721969604492
1934,786.28,True,4.335721969604492
1931,786.52,True,4.335721969604492
1930,786.96,True,4.335721969604492
1924,787.08,True,4.335721969604492
1922,787.28,True,4.335721969604492
1920,787.36,True,4.335721969604492
1918,787.52,True,4.335721969604492
1917,787.6,True,4.335721969604492
1914,787.84,True,4.335721969604492
1906,788.48,True,4.335721969604492
1905,788.56,True,4.335721969604492
1902,788.8,True,4.335721969604492
1901,788.88,True,4.335721969604492
1898,789.12,True,4.335721969604492
1897,789.2,True,4.335721969604492
1896,789.28,True,4.335721969604492
1894,789.36,True,4.335721969604492
1893,789.4,True,4.335721969604492
1891,789.48,True,4.335721969604492
1890,789.52,True,4.335721969604492
1888,789.6,True,4.335721969604492
1887,789.64,True,4.335721969604492
1885,789.72,True,4.335721969604492
1881,789.88,True,4.335721969604492
1880,789.92,True,4.335721969604492
1879,789.96,True,4.335721969604492
1878,790.0,True,4.335721969604492
1877,790.04,True,4.335721969604492
1875,790.12,True,4.335721969604492
1874,790.16,True,4.335721969604492
1873,790.2,True,4.335721969604492
1872,790.24,True,4.335721969604492
1871,790.32,True,4.335721969604492
1777,790.36,True,4.335721969604492
