Makespan,TEC,Pareto,Execution Time
100238,52564.16,True,302.2166545391083
98182,57439.36,True,302.2166545391083
97726,65501.8,True,302.2166545391083
94962,65638.88,True,302.2166545391083
94486,65656.84,True,302.2166545391083
93596,68141.6,True,302.2166545391083
93117,68410.0,True,302.2166545391083
91007,72398.28,True,302.2166545391083
90587,76637.52,True,302.2166545391083
86524,81990.8,True,302.2166545391083
85865,84486.04,True,302.2166545391083
85717,84583.16,True,302.2166545391083
84999,86210.84,True,302.2166545391083
82428,88709.24,True,302.2166545391083
82239,91398.08,True,302.2166545391083
81800,92026.28,True,302.2166545391083
80534,92366.48,True,302.2166545391083
79748,93779.28,True,302.2166545391083
79001,94134.8,True,302.2166545391083
77678,95451.56,True,302.2166545391083
76416,96042.16,True,302.2166545391083
75451,96215.88,True,302.2166545391083
74838,96229.2,True,302.2166545391083
52060,97771.2,True,302.2166545391083
50954,98123.32,True,302.2166545391083
49588,99178.96,True,302.2166545391083
48889,101021.6,True,302.2166545391083
48524,101052.76,True,302.2166545391083
47263,101121.64,True,302.2166545391083
47259,101837.16,True,302.2166545391083
46060,103363.28,True,302.2166545391083
45711,104285.12,True,302.2166545391083
44980,104511.48,True,302.2166545391083
44449,105275.24,True,302.2166545391083
44281,105289.56,True,302.2166545391083
42935,107322.24,True,302.2166545391083
42234,109782.16,True,302.2166545391083
41752,110092.88,True,302.2166545391083
41582,110972.88,True,302.2166545391083
41457,111750.2,True,302.2166545391083
40765,111841.52,True,302.2166545391083
40694,112186.2,True,302.2166545391083
40616,112322.72,True,302.2166545391083
40242,112385.28,True,302.2166545391083
39995,113475.88,True,302.2166545391083
39609,113492.44,True,302.2166545391083
39410,114139.84,True,302.2166545391083
38964,114719.48,True,302.2166545391083
38778,114965.0,True,302.2166545391083
38446,115764.52,True,302.2166545391083
38371,116334.28,True,302.2166545391083
38067,117177.76,True,302.2166545391083
37734,117344.28,True,302.2166545391083
37608,117410.28,True,302.2166545391083
37344,118666.08,True,302.2166545391083
37284,118923.68,True,302.2166545391083
37138,119035.08,True,302.2166545391083
37040,119074.64,True,302.2166545391083
36928,119145.56,True,302.2166545391083
36696,119393.48,True,302.2166545391083
36616,119978.24,True,302.2166545391083
36610,119986.8,True,302.2166545391083
36389,120018.08,True,302.2166545391083
36212,120330.28,True,302.2166545391083
36129,120722.76,True,302.2166545391083
36056,121046.96,True,302.2166545391083
35619,121457.08,True,302.2166545391083
35195,122143.88,True,302.2166545391083
35059,122910.16,True,302.2166545391083
35017,123110.12,True,302.2166545391083
34990,123453.72,True,302.2166545391083
34438,123565.48,True,302.2166545391083
34409,123633.92,True,302.2166545391083
34054,124314.48,True,302.2166545391083
33929,125388.88,True,302.2166545391083
33522,125429.12,True,302.2166545391083
33451,125528.44,True,302.2166545391083
33241,126006.8,True,302.2166545391083
33130,126306.96,True,302.2166545391083
32975,126336.24,True,302.2166545391083
32582,127019.56,True,302.2166545391083
32339,127429.4,True,302.2166545391083
32323,127442.44,True,302.2166545391083
32290,127878.4,True,302.2166545391083
32104,127997.48,True,302.2166545391083
32006,128007.04,True,302.2166545391083
31780,128171.76,True,302.2166545391083
31679,128427.44,True,302.2166545391083
31479,128743.44,True,302.2166545391083
31412,128762.76,True,302.2166545391083
31365,128791.0,True,302.2166545391083
31324,128824.04,True,302.2166545391083
31297,128930.48,True,302.2166545391083
