Makespan,TEC,Pareto,Execution Time
25284,11237.12,True,51.01019763946533
25041,11545.08,True,51.01019763946533
24924,12113.68,True,51.01019763946533
24196,13053.32,True,51.01019763946533
24053,13084.96,True,51.01019763946533
23928,13233.36,True,51.01019763946533
23490,13267.12,True,51.01019763946533
23056,13905.68,True,51.01019763946533
22776,14172.4,True,51.01019763946533
22744,14174.32,True,51.01019763946533
22464,14419.08,True,51.01019763946533
22371,14467.24,True,51.01019763946533
22326,14470.52,True,51.01019763946533
22229,14545.04,True,51.01019763946533
22210,14580.0,True,51.01019763946533
22009,14767.36,True,51.01019763946533
21928,14846.36,True,51.01019763946533
21757,14906.12,True,51.01019763946533
21594,15013.36,True,51.01019763946533
21511,15062.12,True,51.01019763946533
21385,15172.44,True,51.01019763946533
21341,15188.8,True,51.01019763946533
21102,15318.44,True,51.01019763946533
21005,15404.68,True,51.01019763946533
20985,15415.48,True,51.01019763946533
20967,15416.24,True,51.01019763946533
20868,15500.72,True,51.01019763946533
20825,15575.56,True,51.01019763946533
20718,15607.76,True,51.01019763946533
20659,15609.96,True,51.01019763946533
20653,15615.76,True,51.01019763946533
20495,18105.44,True,51.01019763946533
19891,18136.92,True,51.01019763946533
19800,18176.72,True,51.01019763946533
14289,18202.72,True,51.01019763946533
14000,18229.88,True,51.01019763946533
13877,18261.24,True,51.01019763946533
13860,18264.92,True,51.01019763946533
13694,18300.44,True,51.01019763946533
13385,18360.88,True,51.01019763946533
13330,18391.8,True,51.01019763946533
13071,18463.12,True,51.01019763946533
12917,18509.4,True,51.01019763946533
12757,18642.68,True,51.01019763946533
12748,18663.8,True,51.01019763946533
12709,18751.0,True,51.01019763946533
12611,18762.12,True,51.01019763946533
12582,18872.68,True,51.01019763946533
12497,18892.8,True,51.01019763946533
12435,18945.04,True,51.01019763946533
12394,18999.04,True,51.01019763946533
12387,19004.44,True,51.01019763946533
12374,19009.72,True,51.01019763946533
12184,19043.36,True,51.01019763946533
12152,19070.4,True,51.01019763946533
12149,19083.8,True,51.01019763946533
12105,19104.68,True,51.01019763946533
12094,19112.68,True,51.01019763946533
