Makespan,TEC,Pareto,Execution Time
5142,467.32,True,4.406061172485352
5124,524.24,True,4.406061172485352
5079,528.96,True,4.406061172485352
5067,536.36,True,4.406061172485352
5041,538.08,True,4.406061172485352
5029,542.2,True,4.406061172485352
4952,550.44,True,4.406061172485352
4949,562.2,True,4.406061172485352
4935,569.36,True,4.406061172485352
4891,569.92,True,4.406061172485352
4856,570.64,True,4.406061172485352
4820,575.8,True,4.406061172485352
4668,673.2,True,4.406061172485352
4592,689.08,True,4.406061172485352
4588,704.56,True,4.406061172485352
4505,705.68,True,4.406061172485352
4494,726.56,True,4.406061172485352
4489,730.08,True,4.406061172485352
4383,734.28,True,4.406061172485352
4369,752.96,True,4.406061172485352
4268,766.88,True,4.406061172485352
4214,769.8,True,4.406061172485352
4096,793.68,True,4.406061172485352
4072,795.96,True,4.406061172485352
4063,797.44,True,4.406061172485352
3980,808.76,True,4.406061172485352
3945,816.12,True,4.406061172485352
3925,819.24,True,4.406061172485352
3787,822.8,True,4.406061172485352
2587,876.24,True,4.406061172485352
2542,882.92,True,4.406061172485352
2520,897.56,True,4.406061172485352
2456,908.2,True,4.406061172485352
2414,917.84,True,4.406061172485352
2370,922.96,True,4.406061172485352
2363,938.04,True,4.406061172485352
2347,942.32,True,4.406061172485352
2309,948.88,True,4.406061172485352
2298,952.08,True,4.406061172485352
2261,957.28,True,4.406061172485352
2206,970.92,True,4.406061172485352
2161,975.96,True,4.406061172485352
2160,978.12,True,4.406061172485352
2157,988.12,True,4.406061172485352
2155,988.28,True,4.406061172485352
2109,988.88,True,4.406061172485352
2090,999.52,True,4.406061172485352
2088,1008.4,True,4.406061172485352
2068,1012.04,True,4.406061172485352
2040,1012.08,True,4.406061172485352
2017,1019.32,True,4.406061172485352
2007,1021.4,True,4.406061172485352
1983,1025.2,True,4.406061172485352
1974,1029.8,True,4.406061172485352
1933,1044.68,True,4.406061172485352
1914,1049.08,True,4.406061172485352
1897,1049.68,True,4.406061172485352
1873,1055.44,True,4.406061172485352
1868,1059.68,True,4.406061172485352
1858,1061.2,True,4.406061172485352
1847,1062.44,True,4.406061172485352
1843,1065.2,True,4.406061172485352
1822,1066.72,True,4.406061172485352
1816,1071.4,True,4.406061172485352
1811,1071.92,True,4.406061172485352
1803,1075.52,True,4.406061172485352
1799,1075.84,True,4.406061172485352
1782,1079.32,True,4.406061172485352
1766,1081.44,True,4.406061172485352
1763,1087.32,True,4.406061172485352
1748,1088.36,True,4.406061172485352
1745,1089.28,True,4.406061172485352
1732,1089.68,True,4.406061172485352
